,comment,clean_text,sentimen
50,Buang too much space di belakang.  Boxy-kan dikit. Gear shift bagus. Dari P bisa langsung ke D tanpa lewat R.,buang too much space boxy gear shift bagus p langsung d r,Positif
52,Judul nya lebai jangan remehkan pabrik kan China,judul nya lebai remeh pabrik china,Negatif
53,Naiis,naiis,Netral
54,400jt ehh 500jt klo mau cepet,jt ehh jt cepat,Positif
55,G yakin modelnya sama😂,model,Netral
56,Pasti modelnya bukan selera Prindavan,model selera prindavan,Netral
57,Tombol kapasitiv di setir gakan bikin salah pijit tuh nanti?,tombol kapasitiv setir gakan bikin salah pijit tuh,Negatif
58,"Bedanya sijuki mobil konsepnya selalu beneran konsep, ga kyk h tegak dan telu berlian yg majang prototipe sbg konsep akhirnya influencer asian value selalu nganggap h tegak dan telu berlian keren sijuki underrated",beda sijuki mobil konsep beneran konsep h tegak berlian majang prototipe konsep influencer asi value nganggap h tegak berlian keren sijuki underrated,Positif
59,Suzuki biasanya melenceng dari konsepnya. Interior sih yakin ga bakal seperti itu,suzuki lenceng konsep interior sih,Netral
60,Request dong BYD M6.,request byd m,Netral
61,Pasti di atas 500 juta kalau di suzuki,juta suzuki,Netral
62,Soal build quality malah suzuki diatas toyota. Cuma kalah brand sama resale value doang,build kualitas suzuki atas toyota kalah brand resale value,Negatif
63,"Saya pakai XL 7 2019 om, bandel dan tangguh irit lagi",pakai xl om bandel tangguh irit,Positif
64,"Yg paling oke transmisinya Suzuki tidak latah cvt,",oke transmisi suzuki latah cvt,Netral
65,"Sebagai k waspadaan aja pabrik Suzuki d Thailan tutup krn penjualan yg turun drastis, d Indonesia sendiri sdh mulai ada keluhan krn penjualan mobil baru menurun, tp penjualan mobil listrik naik",k waspada pabrik suzuki d thailan tutup jual turun drastis d indonesia keluh jual mobil turun jual mobil listrik,Negatif
66,"Siap - siap buat cari AKI-nya om, saya Hybrid Ertiga aja susah cari AKI-nya om, masa iya perlu indent 2 - 3 bulan, akhirnya diakalin pakai GS calcium wkwkkwkwk 🤣🤣",cari aki nya om hybrid ertiga susah cari aki nya om iya indent diakalin pakai gs calcium wkwkkwkwk,Negatif
67,Ya namanya juga judul dibikin lebay biar menarik dibuka,ya nama judul bikin lebay biar tarik buka,Netral
68,"pasti harganya mirip2 hundai sekarang, mimpi klo harga dibawah 300jt",harga hundai mimpi harga bawah jt,Netral
69,"Masih konsep..😂😂😂
Pabrikan jepun, nangis gak besuara...
Dah Di injek2 ama mochin",konsep pabrikan jepun nang besuara injek mochin,Netral
70,"Yang selalu kuperhatikan waktu om rosano ngomong ""untuk detailnya simak sepuwuharik dari..."" Cepet banget ngomongnya 😂",perhati om rosano ngomong detail simak sepuwuharik cepat banget ngomongnya,Positif
71,"Kalian inget Suzuki Baleno consep, sangat jauh dari konsep ,jng berharap dia bakal bagus dan sama",suzuki baleno consep konsep jng harap bagus,Positif
72,Wow,wow,Netral
73,"Gilaa produsen otomotif mobil EV toyota,suzuki jepang pun gk mau kalah saing dengan produk cina",gilaa produsen otomotif mobil ev toyota suzuki jepang kalah saing produk cina,Negatif
74,"Keren dan sporty banget nih mobil 🔥
#SuzukiSelaluDihati ❤",keren sporty banget nih mobil suzukiselaludihati,Positif
75,"terus harganya digoreng, harga pricelist 500jt, digoreng jadi 800.... 😂😂😂",harga goreng harga pricelist jt goreng,Netral
76,Yang ditunggu tunggu ayolah pemerintah indonesia loloskan saaajaaa dan jangan mahal2,tunggu tunggu ayo perintah indonesia lolos saaajaaa mahal,Positif
77,"Sementara honda buat sepeda listrik em1 ngaku2 sebagai motor listrik, padahal rangenya cuma 25km dan top speed 40km, dengan pede nya si honda jual 45jt🤣, lawak kali brand satu itu, mobil listrik brand lain nnti bermain di harga 500jt si honda jual 1,5milyar dengan kalimat jualan fun to drive🤣",honda sepeda listrik em ngaku motor listrik rangenya top speed pede nya si honda jual jt lawak kali brand mobil listrik brand nnti main harga jt si honda jual milyar kalimat jual fun drive,Netral
78,Sipppp,sipppp,Netral
79,Suzuki paling yahuud,suzuki yahuud,Netral
80,"Masi concept. Pass diproduksi, mobil cina keluarin model baru harga lebih murah. 😂😂",konsep pass produksi mobil cina keluar model harga murah,Positif
81,Waaahhh Suzuki Semakin Mantaaapp,waaahhh suzuki mantaaapp,Netral
82,Prototip😅😅 ora lah india hee..Berat boss sudah jauh tertinggal..bekas nya drop😅😅,prototip india hee berat boss tinggal bekas nya drop,Netral
83,"Kalau harga 250-300 sih laris….
Saran: adas hilangin, manual seat dan manual bagasi….",harga sih laris saran adas hilangin manual seat manual bagasi,Netral
84,"Syukur2 yg d jual ntar tulen Sijuki, bkn Suzubharatha",syukur d jual tulen sijuki suzubharatha,Netral
85,"Harganya 338jt dong, kan suzuki,,
Biar mantab lawan china punya",harga jt suzuki biar mantap lawan china,Netral
86,Bingung orang masih pada beli Toyota & Honda yg harganya udah ga masuk di akal sedangkan ada yg kaya begini di depan mata.,bingung orang beli toyota honda harga masuk akal kaya mata,Negatif
87,Jepang bikin ev? Hmmm...,jepang bikin ev hmmm,Netral
88,pas closing lbh cepet lagi smpe gatau ngomong paan...,pas closing cepat tau ngomong paan,Positif
89,"Mirip"" Xforcenya Mitsubishi....😅",xforcenya mitsubishi,Netral
90,Lah apa hubungannya sma pemerintah ? Mana ada pemerintah melarang EV 😂,hubung sma perintah perintah larang ev,Netral
91,wah harga segitu sih malah mobil EV cina yg bakal ketar ketir 😂,harga segitu sih mobil ev cina ketar tir,Netral
92,"Ini bagus, nabung dulu ah buat siap2 tahun depan",bagus nabung ah,Positif
93,Suzuki selalu dipandang sebelah mata di Indonesia... Ironis.. .😅,suzuki pandang belah mata indonesia ironis,Negatif
94,"Semoga desain, kelengkapan, dan fitur versi produksinya ngga didowngrade dari versi konsepnya seperti yang sudah-sudah",moga desain lengkap fitur versi produksi didowngrade versi konsep,Netral
95,Jd cameo di autonetmagz wkwkw,cameo autonetmagz wkwkw,Netral
96,"Abis liat  mobil   baru SAIC dan  Geely, nga minat lagi. Dari orang yang dulu pake Suzuki.",habis lihat mobil saic geely nga minat orang pakai suzuki,Netral
97,Di mirip-miripin x force ya bos,miripin x force ya bos,Netral
98,Cirikhas endingnya mesti harus di slow....ngomongnya cepet banget😂,cirikhas endingnya mesti santai ngomongnya cepat banget,Positif
99,"Kalau melihat fasilitas SPLKU di Indonesia, better mobil hybrid sih. Bisa diandalkan kapanpun. Klo mobil listrik bakal was-was perjalanan jauh. Bahkan di Negara maju aja sebagian besar ingin balik ke mobil konvensional gegara fasilitas SPLKU yang kurang",fasilitas splku indonesia better mobil hybrid sih andal mobil listrik was was jalan negara maju mobil konvensional gegara fasilitas splku,Positif
100,Ini baru inovasi tiada henti...,inovasi tiada henti,Positif
101,"Suzuki gk perlu fitur-fitur gk guna, yang penting tahan lama,  karena kelemahan mobil China ya elektroniknya banyak masalah, banyak fitur = perawatan mahal, Suzuki cukup pakai fitur-fitur penting aja.",suzuki fitur fitur tahan lemah mobil china ya elektronik fitur awat mahal suzuki pakai fitur fitur,Negatif
102,"Mantap sih, tapi nanti klo VIRAL MALAH HARGANYA DI GORENG",mantap sih viral harga goreng,Positif
103,Konsepnya mantep ke arah kejepangan. Nanti pas lounching pasti selera india nehi nehiiii😂,konsep mantap arah kejepangan pas lounching selera india nehi nehiiii,Positif
104,ngiler.....😊,ngiler,Netral
105,"Semoga yang terakhir rumornya benar, dgn gearbox bisa hemat banget apalagi buat luar kota, rpm bisa rendah buat motor listrik dan tetap berada di torsi maksimal toh selama ini ev bisa boros bgt krn, hambatan angin ya itu normal dan paling penting rpm motor listriknya itu udah tinggi bgt ujung-ujungnya torsi maksimalnya kurang",moga rumor gearbox hemat banget kota rpm rendah motor listrik torsi maksimal ev boros banget hambat angin ya normal rpm motor listrik banget ujung ujung torsi maksimal,Negatif
106,Apa iya? 😂😂😂 konsep doang dibanyakin produksinya nggak.,iya konsep dibanyakin produksi,Netral
107,"Kelamaan, baru concept...China udah duluan",konsep china duluan,Netral
108,"Om reveuw jetour dashing atuh ,,",om reveuw jetour dashing atuh,Netral
109,"Hinaan netizen paling parah di motor Suzuki dahysat bang, sampai akhirnya beli nex 2.
High quality sih banding Honda dan Yamaha.",hina netizen parah motor suzuki dahysat bang beli nex high kualitas sih banding honda yamaha,Negatif
110,animasi keren banget,animasi keren banget,Positif
111,Bedeeh depan galak kyk bulldog,bedeeh galak bulldog,Negatif
112,"Tergantung  seriuus atau tidak  saja negaranya  membangun  SPKLU. China bangun 600.000 SPKLU dalam 1 tahun. Amerika kalau bensin  habis, bom negara   lain  jadi    mereka  tidak  begitu serius.",gantung seriuus negara bangun spklu china bangun spklu amerika bensin habis bom negara serius,Netral
113, @yulusleonard985  Pasti sudah bisa jawab dong keseriusan negara ini bangun SPLKU?,yulusleonard serius negara bangun splku,Positif
114," @budi848  PLN ya  serius  karena kalau mau  cari SPKLU   yang berfungsi  ya di PLN. Di luar itu    di  urus swasta kayak pengelola hotel, pengelola  rest  area  sama dealer wuling.",budi pln ya serius cari spklu fungsi ya pln urus swasta kelola hotel kelola rest area dealer wuling,Positif
115,"1st car swift, kedua ertiga, yuk bisa yuk yg ketiga EVX",st car swift ertiga yuk yuk tiga evx,Netral
116,"Biasanya consept Suzuki sama versi produksi melenceng apalagi diproduksi di negeri nehi nehi, mungkin klo diproduksi japanese agak percaya",konsep suzuki versi produksi lenceng produksi negeri nehi nehi produksi japanese percaya,Positif
117,Knp nggak lgs dijual dgn hrg kompetitif.. ntar keburu nyaman dgn merk2 ev chinna dah malas pindah ke merk2 jepang lagi yg pasti nggak bisa lbh murah dari ev chinna.,lgs jual harga kompetitif keburu nyaman merk ev chinna malas pindah merk jepang murah ev chinna,Netral
118,Sepertinya sulit otomotif jepang bersaing harga dgn otomotif china min....,sulit otomotif jepang saing harga otomotif china min,Negatif
119,Keren mobil nya.. keren video nya.. keren review nya..👍👍,keren mobil nya keren video nya keren tinjau nya,Positif
120,"Cakep, jepang memang masih ketinggalan terkait teknologi dan global supply chain elektrifikasi. Pasti pengen mengejar tiongkok. The race started",cakep jepang tinggal kait teknologi global supply chain elektrifikasi kejar tiongkok the race started,Positif
121,"Tapi belum ada fitur pilot Drive kyk di li-auto, zeekr, Geely, seres 7&9",fitur pilot drive li auto zeekr geely seres,Netral
122,10 hal yg bwdvtrfccsethkoygd Suzuki evx concept,bwdvtrfccsethkoygd suzuki evx konsep,Netral
123,Tinggal buat juga yang 7 penumpang.. range 500 km juga sekali full charge... Aku juga Suzuki Family...,tinggal tumpang range full charge suzuki family,Netral
124,Mirip espresso,espresso,Netral
125,"Aq sudh subscribe sdh lama tp heran smpai skrg blm juga 1jt, padahl chanel sblh sdh 1jt subscribe",sudh subscribe heran jt padahl chanel belah jt subscribe,Negatif
126,Ga bisa berharap banyak terhadap produk Suzuki. 😂😂😂.,harap produk suzuki,Netral
127,Menyala Maruti 🔥🔥🔥,nyala marut,Netral
128,Konsep nya WOW 😂 yg datang PRINDAVAN,konsep nya wow prindavan,Netral
129,Kerennnn,kerennnn,Netral
130,Ini EvX bakal jadi rivalnya Kona Ev gak sih?,evx rival kona ev sih,Netral
131,layar mid nya menghalangi pandangan k dpn 😮,layar mid nya halang pandang k,Netral
132,Editannyyaaaa.....!!!! Mantep Bosquee...!!! Gue berasa nonton TVC seharga miliaran... Mobil yang biasa aja berasa mahal banget,editannyyaaaa mantap bosquee asa nonton tvc harga miliar mobil asa mahal banget,Netral
133,"Untuk dari segi desain mobil konsep ini Memang menggugah selera banget, CAKEP... Semoga untuk produksi masalnya gak beda jauh bentuknya termasuk stir mobilnya.

Tp yg bener2 bikin laku apa gak ya tergantung fitur.... Klo harganya sama, tp fitur jauh sm china, ya wasallam.....",segi desain mobil konsep gugah selera banget cakep moga produksi masalnya beda bentuk stir mobil bener bikin laku ya gantung fitur harga fitur china ya wasallam,Positif
134,Suzuki swift masukin,suzuki swift masukin,Netral
135,Sebenernya ga ketinggalan. Honda pun sudah bnyk yg elektrik di jepang sana. Tp mereka belum bisa bikin yg murah,sebenernya tinggal honda elektrik jepang bikin murah,Positif
136,Akibat overhead kali ya. Biaya gaji insinyur jepang tinggi. Dan r n d jepang lama,akibat overhead kali ya biaya gaji insinyur jepang r n d jepang,Netral
137,"ya jangan lah.. biar murah, bisa kebeli",ya biar murah beli,Positif
138,Dan menurut q Chanel ini layak Krn penyampaian dan vidio.nya sangat lengkap,chanel layak sampai video nya lengkap,Positif
139,"dari yang udah udah sih, pabrikan slain china sih psti pelit fitur apalgi suzuki, ertiga aja masih halo ehhh wkwkwk... jadiii ya ngk bsa berharap banyak seperti pabrikan china",sih pabrikan china sih pelit fitur apalgi suzuki ertiga halo ehhh wkwkwk jadiii ya harap pabrikan china,Negatif
140,"Justru yang jualan fitur bakalan kalah, banyak banget mobil listrik China yang elektroniknya bermasalah, nah Suzuki cukup pakai fitur yang penting dan tahan lama, pasti bakalan banyak yang tertarik.

Elektronik banyak = perawatan mahal.",jual fitur kalah banget mobil listrik china elektronik masalah suzuki pakai fitur tahan tarik elektronik awat mahal,Negatif
141, @haihai1190  mobil listrik softwarenya harus  bagus,haihai mobil listrik softwarenya bagus,Positif
142," @yulusleonard985  Makanya jangan terlalu banyak fitur kayak masalah mobil China, jadi software error ya fitur gk bekerja, belum lagi kalau sudah ketinggalan jaman pasti jadi masalah lagi.",yulusleonard fitur mobil china software error ya fitur tinggal jaman,Negatif
143," @haihai1190  Yang serkarang banyak masalah itu mobil eropa, Jerman. Itu BYD barusan update software.",haihai serkarang mobil eropa jerman byd barusan update software,Netral
144,Bakal beda jauhlah sama hasil yg di pabrikasi nanti,beda jauh hasil pabrikasi,Netral
145,"depannya gagah, tp pas liat belakangnya keliatan kurang melandai, jadi kaya joko kendil",depan gagah pas lihat belakang landai kaya joko kendil,Positif
146,"Concept doang kaya Daihatsu 😂😂

Mass production juga bukan Indonesia marketnya.",konsep kaya daihatsu mass production indonesia marketnya,Netral
147,"produsen Jepang kesulitan dalam suplai baterai, beda dengan produsen dari Cina",produsen jepang sulit suplai baterai beda produsen cina,Negatif
148,Suzuki memang mantap praktis dan irit dan cocok disegala medan  dan zaman .. serta tahan tidak ketinggalan mode .... 👍🏼👍🏼👍🏼👍🏼👍🏼,suzuki mantap praktis irit cocok segala medan zaman tahan tinggal mode,Positif
149,Fronx masuk indo ga om?,fronx masuk indonesia om,Netral
150,"dateng2 langsung bad ass,,,, semoa bneran jadiiiii.,......",langsung bad ass moa bneran jadiiiii,Netral
151,"gimana rasanya belok pakai setir kotak yah? berarti radius putarnya bagus tuh

ada pesan moril di menit 10:18 mantabbbb👍😭",belok pakai setir kotak yah radius putar bagus tuh pesan moril menit mantabbbb,Positif
152,Bisa juga nih buat gantinya Suzuki Ignis tahun depan (2025),nih ganti suzuki ignis,Netral
153,"Concept itu pak, apalagi buatan prindapan dengan backing jepang, makin meragukan untuk bisa ""bantai mobil china"". Sepertinya jepang makin tiarap lawan china, engineer jepang sampai harus belajar ke china skrng untuk EV.",konsep buat prindapan backing jepang ragu bantai mobil china jepang tiarap lawan china engineer jepang ajar china ev,Negatif
154,Berat,berat,Netral
155,Masih konsep sep😂😂😂😂,konsep sep,Netral
156,"Suzuki jualan mimpi, masih konsep, ketinggalan jauh dgn yg lain.. 😅",suzuki jual mimpi konsep tinggal,Netral
157,Semoga produksi masal nya gak jauh melenceng dari konsep nya,moga produksi massal nya lenceng konsep nya,Netral
158,Ditunggu konten kona ev nya min,tunggu konten kona ev nya min,Netral
159,Suka bgt.,suka banget,Positif
160,Emang wajib di bantai mobil cina 😂,emang wajib bantai mobil cina,Negatif
161,mirip Creta bnget😂,creta bnget,Netral
162,hadir om botak 😊,hadir om botak,Netral
163,Keren Suzuki...,keren suzuki,Positif
164,"semoga setelah ngabisin stok ignis tahun ini, fronx bisa masuk 😭",moga habis stok ignis fronx masuk,Netral
165,di tahun 2030 kayaknya,kayak,Netral
166,bagus kalau steering by wire. 4 roda.,bagus steering by wire roda,Positif
167,Harga nya bisa 2-3x ignis,harga nya x ignis,Netral
168," @agungpurnomo466  Hahaha wajarlah di tahun 2025, 'kan jadi EV",agungpurnomo hahaha wajar ev,Positif
169,"Giliran buatan indonesia di india mereka org india juga bilang spt ini """" buatan indonesia itu Pak.. jaaauuhh kualitas nya"""".. sblm ngejek negara org lihat dlu negara kita.. apakah sudah baik??
Kamu tau gak india itu udah bisa bikin rudal nuklir.. teknologi mereka maju.. perluas wawasan sebelum mengejek sesuatu itu",gilir buat indonesia india orang india bilang buat indonesia jaaauuhh kualitas nya ejek negara orang lihat negara tau india bikin rudal nuklir teknologi maju luas wawas ejek,Positif
170,"​ @gentapenarosa7781 emang begitu ya Pak, tanggapan orang India terhadap produk Indonesia?",gentapenarosa emang ya tanggap orang india produk indonesia,Negatif
171,"Produk India ga cocok sama Indonesia, hanya masalah desain,karena masalah selera dan peruntukan nya saja.India lebih ke fungsi, Indonesia mikirin gaya juga.
Tapi kalau masalah kualitas,ga ada masalah dengan produk india",produk india cocok indonesia desain selera untuk nya india fungsi indonesia pikir gaya kualitas produk india,Positif
172,Jer produk belum ada udah dibilang jelek,jer produk bilang jelek,Negatif
173," @thunderedt begitulah, sudah biasa.. itu juga seringnya ikut2an aja, begitu tau india langsung “jelek jelek” padahal belom liat 😅",thunderedt an tau india langsung jelek jelek bom lihat,Negatif
174,Bisanya ya cuma ngejek sih,bisa ya ejek sih,Positif
175,"Seolah olah loe yg paling hebat , 😂😂😂modal omdo doank, India dah bisa buat mobil sendiri ,lah elu?😂😂😂",olah hebat modal omong doang india mobil,Positif
176,"Opini lu cm berasumsi dg kata-kata ""sepertinya"",,😮😅
Jepang bukan ga bisa bikin EV atau ketinggalan dr China,, jauh sebelum pabrikan China bikin EV mereka sudah punya banyak mobil EV.. 
Pabrikan² otomotir Jepang melihat pasar EV untuk BEV blm begitu besar persentase nya dari keseluruhan penjualan mobil Dunia, di Indonesia pabrikan Jepang seperti Toyota, lebih banyak merilis Produk Hybrid EV.. jadi liat sikon pasar..",opini cm asumsi jepang bikin ev tinggal china pabrikan china bikin ev mobil ev pabrikan otomotir jepang pasar ev bev persentase nya jual mobil dunia indonesia pabrikan jepang toyota rilis produk hybrid ev lihat sikon pasar,Netral
177,"Maaf sebelumnya, saya owner 2 ev, korea ioniq 5 dan china brand, owner 2 ice zenyx q dan hrv. Sempat stay beberapa minggu di china karena urusan kerja, mata saya terbuka, betapa sudah sangat jauh tertinggal mobil buatan jepang. Jepang negara keparat yg nipu kita berpuluh2 tahun dengan mobil murahan keparat yg overprice.

In my opinion, japanese brand is the worst overpriced car, bahkan zenyx yg saya pakai ga cocok antara harga dan kualitasnya...",maaf owner ev korea ioniq china brand owner ice zenyx hrv stay minggu china urus kerja mata buka betapa tinggal mobil buat jepang jepang negara keparat nipu puluh mobil murah keparat overprice in my opinion japanese brand is the worst overpriced car zenyx pakai cocok harga kualitas,Positif
178,"Produsen battery terbaik saat ini ada di china, CATL dan BYD pembuat LFP dan sodium ion. Tesla pun harus akui dan beli dr mereka. Ngapain wasting time nunggu jepang? Mereka sudah ga bisa inovasi, old generation semua

FYI, ironinya, car of the year di jepang adalah BYD Dolphin....",produsen battery baik china catl byd buat lfp sodium ion tesla aku beli ngapain wasting nunggu jepang inovasi old generation fyi ironi car of the jepang byd dolphin,Positif
179,"India hanya pabrikan, dibelakangnya ada Jepang. Sampai detik ini apa mobil jepang ev yg sukses? None, nihil. Bz4x?? No, nissan leaf?? Itu udah usang. 

Beli ev brother, jangan cuma komen, baru akan merasakan betapa tertinggalnya jepang",india pabrikan belakang jepang detik mobil jepang ev sukses none nihil bz x nomor nissan leaf usang beli ev brother komen rasa betapa tinggal jepang,Negatif
180,"Indikator terbaik adalah US dan Eropa, mereka sampai bikin aturan tariff 100% untuk EV asal china

Pengamat disana melihat semua market di dunia akan didominasi oleh china. Sampai harus bikin aturan semengerikan itu

Apa yg dilakukan pemerintah skrng sdh benar, pabrik battery dan ev diperbanyak, kedepannya untuk alih teknologi, siapa tau ada brand lokal yg bisa mirip vinfast vietnam, jd bisa mandiri.",indikator baik us eropa bikin atur tariff ev china amat sana market dunia dominasi china bikin atur keri perintah pabrik battery ev banyak depan alih teknologi tau brand lokal vinfast vietnam mandiri,Positif
181,"Indikator terbaik tau mana leader ev sesungguhnya adalah import tariff 100% di US dan Eropa untuk EV china, karena mereka ketakutan dilibas habis produknya.

Worth to mention : Volvo, MG, Smart, LEVC, Lotus skrng owned by china company

Kesimpulannya, judul siap bantai mobil china itu terlalu bombastis, emotional dan tanpa data...",indikator baik tau leader ev sungguh import tariff us eropa ev china takut libas habis produk worth mention volvo mg smart levc lotus owned by china usaha simpul judul bantai mobil china bombastis emotional data,Netral
182,"Orang2 thailand jg sudah mulai detox dari mobil jepang, sales mobil jepang drop >10% dan china naik > 10% di 2024.

Lets see, siapa yg akan terlibas nanti

Toshiba, hitachi, panasonic?? Kalian sendiri mungkin ga punya lg produk2nya

Hp jepang??? 

Jadi dipastikan trend ini akan diteruskan di mobil jg

Maaf sebelumnya, jika saya muak dengan jepang, agya keparat saja bisa2nya dijual hampir 300juta. Kita diperah eh malah kita muja2 mereka",orang thailand detox mobil jepang sales mobil jepang drop china lets see libas toshiba hitachi panasonic produk nya hp jepang trend terus mobil maaf muak jepang agya keparat nya jual juta perah eh muja,Negatif
