instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,date
43,2011-01-02,springer,2011,Jan,19,No,Sun,No,Normal,13.0,14.0,42.0,30.0,1,29,30,02
44,2011-01-02,springer,2011,Jan,20,No,Sun,No,Normal,12.0,14.0,39.0,24.0,5,17,22,02
45,2011-01-02,springer,2011,Jan,21,No,Sun,No,Normal,11.0,11.0,44.0,22.0,11,20,31,02
46,2011-01-02,springer,2011,Jan,22,No,Sun,No,Normal,10.0,11.0,44.0,20.0,0,9,9,02
47,2011-01-02,springer,2011,Jan,23,No,Sun,No,Normal,9.0,11.0,47.0,11.0,0,8,8,02
48,2011-01-03,springer,2011,Jan,0,No,Mon,Yes,Normal,9.0,10.0,44.0,24.0,0,5,5,03
49,2011-01-03,springer,2011,Jan,1,No,Mon,Yes,Normal,8.0,8.0,44.0,28.0,0,2,2,03
50,2011-01-03,springer,2011,Jan,4,No,Mon,Yes,Normal,7.0,7.0,47.0,26.0,0,1,1,03
51,2011-01-03,springer,2011,Jan,5,No,Mon,Yes,Normal,7.0,7.0,47.0,19.0,0,3,3,03
52,2011-01-03,springer,2011,Jan,6,No,Mon,Yes,Normal,6.0,5.0,50.0,26.0,0,30,30,03
53,2011-01-03,springer,2011,Jan,7,No,Mon,Yes,Normal,6.0,7.0,50.0,13.0,1,63,64,03
54,2011-01-03,springer,2011,Jan,8,No,Mon,Yes,Normal,6.0,6.0,50.0,19.0,1,153,154,03
55,2011-01-03,springer,2011,Jan,9,No,Mon,Yes,Normal,7.0,7.0,43.0,26.0,7,81,88,03
56,2011-01-03,springer,2011,Jan,10,No,Mon,Yes,Normal,7.0,8.0,43.0,17.0,11,33,44,03
57,2011-01-03,springer,2011,Jan,11,No,Mon,Yes,Normal,8.0,9.0,40.0,22.0,10,41,51,03
58,2011-01-03,springer,2011,Jan,12,No,Mon,Yes,Normal,9.0,11.0,35.0,20.0,13,48,61,03
59,2011-01-03,springer,2011,Jan,13,No,Mon,Yes,Normal,10.0,11.0,35.0,19.0,8,53,61,03
60,2011-01-03,springer,2011,Jan,14,No,Mon,Yes,Normal,11.0,12.0,30.0,19.0,11,66,77,03
61,2011-01-03,springer,2011,Jan,15,No,Mon,Yes,Normal,11.0,12.0,30.0,17.0,14,58,72,03
62,2011-01-03,springer,2011,Jan,16,No,Mon,Yes,Normal,11.0,12.0,30.0,17.0,9,67,76,03
63,2011-01-03,springer,2011,Jan,17,No,Mon,Yes,Normal,10.0,11.0,30.0,15.0,11,146,157,03
64,2011-01-03,springer,2011,Jan,18,No,Mon,Yes,Normal,10.0,13.0,32.0,7.0,9,148,157,03
65,2011-01-03,springer,2011,Jan,19,No,Mon,Yes,Normal,8.0,13.0,47.0,0.0,8,102,110,03
66,2011-01-03,springer,2011,Jan,20,No,Mon,Yes,Normal,8.0,11.0,47.0,7.0,3,49,52,03
67,2011-01-03,springer,2011,Jan,21,No,Mon,Yes,Normal,7.0,10.0,64.0,9.0,3,49,52,03
68,2011-01-03,springer,2011,Jan,22,No,Mon,Yes,Normal,6.0,8.0,69.0,9.0,0,20,20,03
69,2011-01-03,springer,2011,Jan,23,No,Mon,Yes,Normal,7.0,11.0,55.0,7.0,1,11,12,03
70,2011-01-04,springer,2011,Jan,0,No,Tue,Yes,Normal,7.0,9.0,55.0,7.0,0,5,5,04
71,2011-01-04,springer,2011,Jan,1,No,Tue,Yes,Normal,7.0,9.0,59.0,7.0,0,2,2,04
72,2011-01-04,springer,2011,Jan,2,No,Tue,Yes,Normal,6.0,8.0,63.0,9.0,0,1,1,04
73,2011-01-04,springer,2011,Jan,4,No,Tue,Yes,Normal,6.0,9.0,63.0,6.0,0,2,2,04
74,2011-01-04,springer,2011,Jan,5,No,Tue,Yes,Normal,5.0,8.0,68.0,7.0,0,4,4,04
75,2011-01-04,springer,2011,Jan,6,No,Tue,Yes,Normal,5.0,8.0,74.0,7.0,0,36,36,04
76,2011-01-04,springer,2011,Jan,7,No,Tue,Yes,Normal,5.0,8.0,74.0,9.0,2,92,94,04
77,2011-01-04,springer,2011,Jan,8,No,Tue,Yes,Normal,6.0,8.0,69.0,11.0,2,177,179,04
78,2011-01-04,springer,2011,Jan,9,No,Tue,Yes,Normal,7.0,8.0,64.0,15.0,2,98,100,04
79,2011-01-04,springer,2011,Jan,10,No,Tue,Yes,Moderate,7.0,7.0,69.0,22.0,5,37,42,04
80,2011-01-04,springer,2011,Jan,11,No,Tue,Yes,Normal,9.0,11.0,51.0,20.0,7,50,57,04
81,2011-01-04,springer,2011,Jan,12,No,Tue,Yes,Normal,9.0,11.0,51.0,11.0,12,66,78,04
82,2011-01-04,springer,2011,Jan,13,No,Tue,Yes,Normal,10.0,11.0,56.0,13.0,18,79,97,04
83,2011-01-04,springer,2011,Jan,14,No,Tue,Yes,Normal,11.0,13.0,52.0,15.0,9,54,63,04
84,2011-01-04,springer,2011,Jan,15,No,Tue,Yes,Normal,11.0,14.0,52.0,17.0,17,48,65,04
85,2011-01-04,springer,2011,Jan,16,No,Tue,Yes,Normal,12.0,14.0,49.0,17.0,15,68,83,04
86,2011-01-04,springer,2011,Jan,17,No,Tue,Yes,Normal,11.0,14.0,48.0,15.0,10,202,212,04
87,2011-01-04,springer,2011,Jan,18,No,Tue,Yes,Normal,11.0,13.0,48.0,13.0,3,179,182,04
88,2011-01-04,springer,2011,Jan,19,No,Tue,Yes,Normal,10.0,13.0,48.0,7.0,2,110,112,04
89,2011-01-04,springer,2011,Jan,20,No,Tue,Yes,Normal,10.0,13.0,48.0,7.0,1,53,54,04
90,2011-01-04,springer,2011,Jan,21,No,Tue,Yes,Normal,9.0,14.0,64.0,0.0,0,48,48,04
91,2011-01-04,springer,2011,Jan,22,No,Tue,Yes,Normal,9.0,13.0,64.0,6.0,1,34,35,04
92,2011-01-04,springer,2011,Jan,23,No,Tue,Yes,Normal,8.0,11.0,69.0,6.0,2,9,11,04
93,2011-01-05,springer,2011,Jan,0,No,Wed,Yes,Normal,8.0,13.0,64.0,0.0,0,6,6,05
94,2011-01-05,springer,2011,Jan,1,No,Wed,Yes,Normal,7.0,10.0,74.0,6.0,0,6,6,05
95,2011-01-05,springer,2011,Jan,2,No,Wed,Yes,Normal,7.0,10.0,74.0,6.0,0,2,2,05
96,2011-01-05,springer,2011,Jan,4,No,Wed,Yes,Normal,10.0,11.0,48.0,15.0,0,2,2,05
97,2011-01-05,springer,2011,Jan,5,No,Wed,Yes,Normal,9.0,11.0,47.0,11.0,0,3,3,05
98,2011-01-05,springer,2011,Jan,6,No,Wed,Yes,Normal,8.0,10.0,47.0,15.0,0,33,33,05
99,2011-01-05,springer,2011,Jan,7,No,Wed,Yes,Normal,7.0,9.0,43.0,13.0,1,87,88,05
100,2011-01-05,springer,2011,Jan,8,No,Wed,Yes,Normal,8.0,9.0,40.0,20.0,3,192,195,05
101,2011-01-05,springer,2011,Jan,9,No,Wed,Yes,Normal,9.0,10.0,37.0,22.0,6,109,115,05
102,2011-01-05,springer,2011,Jan,10,No,Wed,Yes,Normal,9.0,10.0,37.0,22.0,4,53,57,05
103,2011-01-05,springer,2011,Jan,11,No,Wed,Yes,Normal,11.0,11.0,33.0,22.0,12,34,46,05
104,2011-01-05,springer,2011,Jan,12,No,Wed,Yes,Normal,11.0,11.0,33.0,22.0,5,74,79,05
105,2011-01-05,springer,2011,Jan,13,No,Wed,Yes,Normal,11.0,13.0,30.0,20.0,6,65,71,05
106,2011-01-05,springer,2011,Jan,14,No,Wed,Yes,Normal,12.0,14.0,28.0,13.0,10,52,62,05
107,2011-01-05,springer,2011,Jan,15,No,Wed,Yes,Normal,12.0,14.0,28.0,13.0,7,55,62,05
108,2011-01-05,springer,2011,Jan,16,No,Wed,Yes,Normal,12.0,16.0,28.0,6.0,4,85,89,05
109,2011-01-05,springer,2011,Jan,17,No,Wed,Yes,Normal,10.0,11.0,38.0,13.0,4,186,190,05
110,2011-01-05,springer,2011,Jan,18,No,Wed,Yes,Normal,10.0,12.0,38.0,9.0,3,166,169,05
111,2011-01-05,springer,2011,Jan,19,No,Wed,Yes,Normal,10.0,13.0,38.0,7.0,5,127,132,05
112,2011-01-05,springer,2011,Jan,20,No,Wed,Yes,Normal,9.0,11.0,47.0,11.0,7,82,89,05
113,2011-01-05,springer,2011,Jan,21,No,Wed,Yes,Normal,8.0,10.0,51.0,13.0,3,40,43,05
114,2011-01-05,springer,2011,Jan,22,No,Wed,Yes,Normal,7.0,10.0,55.0,9.0,1,41,42,05
115,2011-01-05,springer,2011,Jan,23,No,Wed,Yes,Normal,8.0,13.0,47.0,0.0,1,18,19,05
116,2011-01-06,springer,2011,Jan,0,No,Thr,Yes,Normal,7.0,12.0,55.0,0.0,0,11,11,06
117,2011-01-06,springer,2011,Jan,1,No,Thr,Yes,Normal,7.0,11.0,64.0,0.0,0,4,4,06
118,2011-01-06,springer,2011,Jan,2,No,Thr,Yes,Normal,7.0,11.0,64.0,0.0,0,2,2,06
119,2011-01-06,springer,2011,Jan,4,No,Thr,Yes,Moderate,7.0,10.0,64.0,6.0,0,1,1,06
120,2011-01-06,springer,2011,Jan,5,No,Thr,Yes,Moderate,6.0,9.0,69.0,6.0,0,4,4,06
121,2011-01-06,springer,2011,Jan,6,No,Thr,Yes,Moderate,6.0,8.0,63.0,7.0,0,36,36,06
122,2011-01-06,springer,2011,Jan,7,No,Thr,Yes,Moderate,7.0,11.0,59.0,0.0,0,95,95,06
123,2011-01-06,springer,2011,Jan,8,No,Thr,Yes,Normal,7.0,11.0,59.0,0.0,3,216,219,06
124,2011-01-06,springer,2011,Jan,9,No,Thr,Yes,Moderate,7.0,12.0,51.0,0.0,6,116,122,06
125,2011-01-06,springer,2011,Jan,10,No,Thr,Yes,Normal,8.0,13.0,47.0,0.0,3,42,45,06
126,2011-01-06,springer,2011,Jan,11,No,Thr,Yes,Normal,9.0,13.0,44.0,6.0,2,57,59,06
127,2011-01-06,springer,2011,Jan,12,No,Thr,Yes,Normal,11.0,14.0,35.0,0.0,6,78,84,06
128,2011-01-06,springer,2011,Jan,13,No,Thr,Yes,Normal,11.0,14.0,35.0,7.0,12,55,67,06
129,2011-01-06,springer,2011,Jan,14,No,Thr,Yes,Normal,11.0,14.0,36.0,11.0,11,59,70,06
130,2011-01-06,springer,2011,Jan,15,No,Thr,Yes,Normal,11.0,14.0,36.0,0.0,8,54,62,06
131,2011-01-06,springer,2011,Jan,16,No,Thr,Yes,Normal,11.0,13.0,38.0,11.0,12,74,86,06
132,2011-01-06,springer,2011,Jan,17,No,Thr,Yes,Normal,9.0,11.0,51.0,11.0,9,163,172,06
133,2011-01-06,springer,2011,Jan,18,No,Thr,Yes,Normal,9.0,11.0,51.0,9.0,5,158,163,06
134,2011-01-06,springer,2011,Jan,19,No,Thr,Yes,Normal,9.0,13.0,55.0,6.0,3,109,112,06
135,2011-01-06,springer,2011,Jan,20,No,Thr,Yes,Normal,8.0,11.0,51.0,11.0,3,66,69,06
136,2011-01-06,springer,2011,Jan,21,No,Thr,Yes,Moderate,9.0,11.0,55.0,15.0,0,48,48,06
137,2011-01-06,springer,2011,Jan,22,No,Thr,Yes,Moderate,9.0,11.0,51.0,19.0,1,51,52,06
138,2011-01-06,springer,2011,Jan,23,No,Thr,Yes,Moderate,8.0,10.0,59.0,13.0,4,19,23,06
139,2011-01-07,springer,2011,Jan,0,No,Fri,Yes,Moderate,8.0,10.0,64.0,13.0,4,13,17,07
140,2011-01-07,springer,2011,Jan,1,No,Fri,Yes,Moderate,8.0,10.0,69.0,15.0,2,5,7,07
141,2011-01-07,springer,2011,Jan,2,No,Fri,Yes,Moderate,8.0,10.0,69.0,15.0,0,1,1,07
142,2011-01-07,springer,2011,Jan,4,No,Fri,Yes,Moderate,8.0,11.0,69.0,9.0,0,1,1,07
143,2011-01-07,springer,2011,Jan,5,No,Fri,Yes,Caution,9.0,14.0,55.0,0.0,0,5,5,07
144,2011-01-07,springer,2011,Jan,6,No,Fri,Yes,Moderate,8.0,13.0,69.0,0.0,8,26,34,07
145,2011-01-07,springer,2011,Jan,7,No,Fri,Yes,Normal,8.0,11.0,69.0,9.0,8,76,84,07
146,2011-01-07,springer,2011,Jan,8,No,Fri,Yes,Normal,8.0,10.0,51.0,17.0,20,190,210,07
147,2011-01-07,springer,2011,Jan,9,No,Fri,Yes,Normal,8.0,9.0,47.0,20.0,9,125,134,07
148,2011-01-07,springer,2011,Jan,10,No,Fri,Yes,Normal,9.0,10.0,37.0,22.0,16,47,63,07
149,2011-01-07,springer,2011,Jan,11,No,Fri,Yes,Moderate,8.0,10.0,40.0,15.0,19,48,67,07
150,2011-01-07,springer,2011,Jan,12,No,Fri,Yes,Moderate,8.0,10.0,37.0,17.0,9,50,59,07
151,2011-01-07,springer,2011,Jan,13,No,Fri,Yes,Moderate,8.0,9.0,37.0,19.0,9,64,73,07
152,2011-01-07,springer,2011,Jan,14,No,Fri,Yes,Moderate,8.0,10.0,40.0,17.0,7,43,50,07
153,2011-01-07,springer,2011,Jan,15,No,Fri,Yes,Moderate,8.0,11.0,37.0,11.0,9,63,72,07
154,2011-01-07,springer,2011,Jan,16,No,Fri,Yes,Moderate,8.0,11.0,37.0,11.0,5,82,87,07
155,2011-01-07,springer,2011,Jan,17,No,Fri,Yes,Moderate,8.0,13.0,37.0,0.0,9,178,187,07
156,2011-01-07,springer,2011,Jan,18,No,Fri,Yes,Normal,8.0,11.0,40.0,6.0,7,116,123,07
157,2011-01-07,springer,2011,Jan,19,No,Fri,Yes,Normal,7.0,10.0,55.0,6.0,3,92,95,07
158,2011-01-07,springer,2011,Jan,20,No,Fri,Yes,Normal,7.0,11.0,47.0,7.0,1,50,51,07
159,2011-01-07,springer,2011,Jan,21,No,Fri,Yes,Normal,7.0,10.0,47.0,9.0,0,39,39,07
160,2011-01-07,springer,2011,Jan,22,No,Fri,Yes,Moderate,7.0,10.0,43.0,11.0,2,34,36,07
161,2011-01-07,springer,2011,Jan,23,No,Fri,Yes,Moderate,7.0,10.0,51.0,11.0,1,14,15,07
162,2011-01-08,springer,2011,Jan,0,No,Sat,No,Moderate,7.0,10.0,51.0,11.0,1,24,25,08
163,2011-01-08,springer,2011,Jan,1,No,Sat,No,Moderate,7.0,11.0,55.0,6.0,1,15,16,08
164,2011-01-08,springer,2011,Jan,2,No,Sat,No,Moderate,7.0,12.0,55.0,0.0,3,13,16,08
165,2011-01-08,springer,2011,Jan,3,No,Sat,No,Caution,7.0,10.0,55.0,11.0,0,7,7,08
166,2011-01-08,springer,2011,Jan,4,No,Sat,No,Caution,7.0,10.0,55.0,11.0,0,1,1,08
167,2011-01-08,springer,2011,Jan,5,No,Sat,No,Moderate,7.0,8.0,74.0,11.0,0,5,5,08
168,2011-01-08,springer,2011,Jan,6,No,Sat,No,Moderate,7.0,8.0,74.0,11.0,0,2,2,08
169,2011-01-08,springer,2011,Jan,7,No,Sat,No,Moderate,7.0,9.0,74.0,7.0,1,8,9,08
170,2011-01-08,springer,2011,Jan,8,No,Sat,No,Caution,7.0,9.0,93.0,7.0,0,15,15,08
171,2011-01-08,springer,2011,Jan,9,No,Sat,No,Caution,7.0,9.0,93.0,7.0,0,20,20,08
172,2011-01-08,springer,2011,Jan,10,No,Sat,No,Moderate,7.0,10.0,80.0,11.0,5,56,61,08
173,2011-01-08,springer,2011,Jan,11,No,Sat,No,Moderate,8.0,9.0,69.0,26.0,2,60,62,08
174,2011-01-08,springer,2011,Jan,12,No,Sat,No,Moderate,8.0,9.0,59.0,24.0,8,90,98,08
175,2011-01-08,springer,2011,Jan,13,No,Sat,No,Normal,8.0,9.0,44.0,22.0,7,95,102,08
176,2011-01-08,springer,2011,Jan,14,No,Sat,No,Normal,8.0,8.0,32.0,32.0,12,83,95,08
177,2011-01-08,springer,2011,Jan,15,No,Sat,No,Normal,8.0,8.0,32.0,30.0,5,69,74,08
178,2011-01-08,springer,2011,Jan,16,No,Sat,No,Normal,7.0,7.0,29.0,30.0,8,68,76,08
179,2011-01-08,springer,2011,Jan,17,No,Sat,No,Normal,7.0,6.0,37.0,32.0,5,64,69,08
180,2011-01-08,springer,2011,Jan,18,No,Sat,No,Normal,6.0,6.0,39.0,20.0,3,52,55,08
181,2011-01-08,springer,2011,Jan,19,No,Sat,No,Normal,6.0,6.0,36.0,17.0,4,26,30,08
182,2011-01-08,springer,2011,Jan,20,No,Sat,No,Normal,5.0,6.0,36.0,17.0,0,28,28,08
183,2011-01-08,springer,2011,Jan,21,No,Sat,No,Normal,5.0,5.0,39.0,24.0,2,35,37,08
184,2011-01-08,springer,2011,Jan,22,No,Sat,No,Normal,5.0,5.0,36.0,26.0,1,33,34,08
185,2011-01-08,springer,2011,Jan,23,No,Sat,No,Normal,4.0,3.0,39.0,30.0,0,22,22,08
186,2011-01-09,springer,2011,Jan,0,No,Sun,No,Normal,4.0,4.0,42.0,26.0,1,24,25,09
187,2011-01-09,springer,2011,Jan,1,No,Sun,No,Normal,4.0,3.0,42.0,31.0,0,12,12,09
188,2011-01-09,springer,2011,Jan,2,No,Sun,No,Normal,4.0,3.0,46.0,31.0,0,11,11,09
189,2011-01-09,springer,2011,Jan,3,No,Sun,No,Normal,4.0,4.0,46.0,28.0,0,4,4,09
190,2011-01-09,springer,2011,Jan,4,No,Sun,No,Normal,3.0,5.0,53.0,13.0,0,1,1,09
191,2011-01-09,springer,2011,Jan,5,No,Sun,No,Normal,3.0,5.0,53.0,13.0,0,1,1,09
192,2011-01-09,springer,2011,Jan,6,No,Sun,No,Normal,4.0,5.0,49.0,19.0,0,1,1,09
193,2011-01-09,springer,2011,Jan,7,No,Sun,No,Normal,3.0,5.0,53.0,13.0,1,5,6,09
194,2011-01-09,springer,2011,Jan,8,No,Sun,No,Normal,4.0,5.0,49.0,19.0,0,10,10,09
195,2011-01-09,springer,2011,Jan,9,No,Sun,No,Normal,5.0,4.0,46.0,32.0,0,19,19,09
196,2011-01-09,springer,2011,Jan,10,No,Sun,No,Normal,6.0,5.0,43.0,26.0,0,49,49,09
197,2011-01-09,springer,2011,Jan,11,No,Sun,No,Normal,7.0,6.0,40.0,32.0,2,47,49,09
198,2011-01-09,springer,2011,Jan,12,No,Sun,No,Normal,7.0,7.0,37.0,30.0,4,79,83,09
199,2011-01-09,springer,2011,Jan,13,No,Sun,No,Normal,8.0,8.0,34.0,30.0,6,69,75,09
200,2011-01-09,springer,2011,Jan,14,No,Sun,No,Normal,9.0,9.0,32.0,31.0,8,64,72,09
201,2011-01-09,springer,2011,Jan,15,No,Sun,No,Normal,9.0,10.0,35.0,24.0,5,77,82,09
202,2011-01-09,springer,2011,Jan,16,No,Sun,No,Normal,8.0,8.0,34.0,30.0,13,79,92,09
203,2011-01-09,springer,2011,Jan,17,No,Sun,No,Normal,7.0,8.0,37.0,26.0,3,59,62,09
204,2011-01-09,springer,2011,Jan,18,No,Sun,No,Normal,7.0,7.0,40.0,22.0,4,44,48,09
205,2011-01-09,springer,2011,Jan,19,No,Sun,No,Normal,7.0,7.0,43.0,22.0,1,40,41,09
206,2011-01-09,springer,2011,Jan,20,No,Sun,No,Normal,6.0,6.0,46.0,17.0,0,38,38,09
207,2011-01-09,springer,2011,Jan,21,No,Sun,No,Normal,6.0,5.0,46.0,28.0,1,19,20,09
208,2011-01-09,springer,2011,Jan,22,No,Sun,No,Normal,6.0,6.0,46.0,20.0,5,10,15,09
209,2011-01-09,springer,2011,Jan,23,No,Sun,No,Normal,5.0,7.0,50.0,13.0,0,6,6,09
210,2011-01-10,springer,2011,Jan,0,No,Mon,Yes,Normal,5.0,6.0,50.0,19.0,2,3,5,10
211,2011-01-10,springer,2011,Jan,1,No,Mon,Yes,Normal,5.0,6.0,50.0,19.0,1,0,1,10
212,2011-01-10,springer,2011,Jan,2,No,Mon,Yes,Normal,5.0,6.0,50.0,15.0,0,3,3,10
213,2011-01-10,springer,2011,Jan,3,No,Mon,Yes,Normal,5.0,6.0,50.0,15.0,0,1,1,10
214,2011-01-10,springer,2011,Jan,4,No,Mon,Yes,Normal,4.0,6.0,54.0,9.0,1,2,3,10
215,2011-01-10,springer,2011,Jan,5,No,Mon,Yes,Normal,4.0,5.0,54.0,17.0,0,3,3,10
216,2011-01-10,springer,2011,Jan,6,No,Mon,Yes,Normal,5.0,6.0,50.0,19.0,0,31,31,10
217,2011-01-10,springer,2011,Jan,7,No,Mon,Yes,Normal,5.0,6.0,50.0,15.0,2,75,77,10
218,2011-01-10,springer,2011,Jan,8,No,Mon,Yes,Moderate,5.0,6.0,50.0,19.0,4,184,188,10
219,2011-01-10,springer,2011,Jan,9,No,Mon,Yes,Moderate,6.0,6.0,50.0,17.0,2,92,94,10
220,2011-01-10,springer,2011,Jan,10,No,Mon,Yes,Moderate,6.0,6.0,50.0,20.0,0,31,31,10
221,2011-01-10,springer,2011,Jan,11,No,Mon,Yes,Moderate,7.0,7.0,47.0,19.0,2,28,30,10
222,2011-01-10,springer,2011,Jan,12,No,Mon,Yes,Moderate,8.0,9.0,40.0,19.0,5,47,52,10
223,2011-01-10,springer,2011,Jan,13,No,Mon,Yes,Moderate,8.0,9.0,40.0,19.0,4,50,54,10
224,2011-01-10,springer,2011,Jan,14,No,Mon,Yes,Moderate,8.0,10.0,40.0,15.0,0,47,47,10
225,2011-01-10,springer,2011,Jan,15,No,Mon,Yes,Moderate,8.0,10.0,40.0,15.0,2,43,45,10
226,2011-01-10,springer,2011,Jan,16,No,Mon,Yes,Normal,8.0,11.0,40.0,9.0,4,70,74,10
227,2011-01-10,springer,2011,Jan,17,No,Mon,Yes,Normal,8.0,11.0,40.0,7.0,4,174,178,10
228,2011-01-10,springer,2011,Jan,18,No,Mon,Yes,Normal,8.0,10.0,40.0,15.0,1,154,155,10
229,2011-01-10,springer,2011,Jan,19,No,Mon,Yes,Normal,7.0,8.0,47.0,11.0,3,92,95,10
230,2011-01-10,springer,2011,Jan,20,No,Mon,Yes,Normal,7.0,8.0,50.0,11.0,1,73,74,10
231,2011-01-10,springer,2011,Jan,21,No,Mon,Yes,Normal,6.0,7.0,59.0,13.0,1,37,38,10
232,2011-01-10,springer,2011,Jan,22,No,Mon,Yes,Normal,6.0,8.0,59.0,11.0,2,22,24,10
233,2011-01-10,springer,2011,Jan,23,No,Mon,Yes,Normal,6.0,8.0,59.0,11.0,0,18,18,10
234,2011-01-11,springer,2011,Jan,0,No,Tue,Yes,Normal,6.0,8.0,59.0,7.0,2,10,12,11
235,2011-01-11,springer,2011,Jan,1,No,Tue,Yes,Normal,6.0,8.0,59.0,11.0,0,3,3,11
236,2011-01-11,springer,2011,Jan,2,No,Tue,Yes,Moderate,7.0,8.0,55.0,13.0,0,3,3,11
237,2011-01-11,springer,2011,Jan,5,No,Tue,Yes,Moderate,7.0,9.0,55.0,9.0,0,6,6,11
