,comment,Labeling ,clean_text
49,Semoga harga di bawah 500jt😅,positif,moga harga 500jt
50,Suzuki kebiasaan goreng gorengan…udah banyak orang ilfil…😂😢,negatif,suzuki biasa goreng gorenganudah orang ilfil
51,นกมอบผใทห,netral,
52,"yang penting harga ""bersahabat"" buat customer....",positif,harga sahabat customer
53,Suzuki Fronx laah masukin indo,netral,suzuki fronx laah masukin indonesia
54,Biasanya Harganya  suzuki suka bersahabat,positif,harga suzuki suka sahabat
55,ini kalau konsep car nya udah jadi ini mau jadi lawannya siapa coba komen di bawah👇😊,netral,konsep car nya lawan coba komen
56,Tumben X ini Disain SUZUKI sdh bagus biasa disain2 lain pada umumnya jelek2 😂😂,positif,tumben x disain suzuki bagus disain2 jelek2
57,Coba nanti pas launching di indonesia bisa jadi 7 seater. Pasti laris manis banget laku terjual,positif,coba pas launching indonesia 7 seater laris manis banget laku jual
58,Ga salah harga lagi kan nanti 🤭,netral,salah harga
59,Mantaapp nihh suzukiii....awass ada yg Jiplaakkkk merek sebelaahhh...hixixixixiiiii,positif,mantaapp nihh suzukiiiawass jiplaakkkk merek sebelaahhhhixixixixiiiii
60,"Ayo2 jangan lupa, apapun videonya koruptor komennya. 👌👍 Lanjutkan & tingkatkan ketifakpedulian akan konteks & relevansi",netral,ayo2 lupa apa video koruptor komennya lanjut tingkat ketifakpedulian konteks relevansi
61,Untuk mobil EV tetap produk CHINA yg terdepan...😊😊😊,negatif,mobil ev produk china depan
62,"Gak mungkin bro, Sehebat-hebatnya produk Jepang itu selalu KALAH di Harga dengan mobil China. Mari kita BUKTIkan kalau gak prcaya",negatif,bro sehebathebatnya produk jepang kalah harga mobil china mari bukti percaya
63,"suzuki grand vitara EV sajalah, sy mau beli, gak usah neko neko,,",positif,suzuki grand vitara ev beli neko neko
64,susuki yamaha honda sudah kerjasama dengan cina bang😂,netral,susuk yamaha honda kerjasama cina bang
65,Pasti harga nya mahal,negatif,harga nya mahal
66,"merk ternama harus segera ambil langkah cepat sebelum konsumen terlanjur pindah k produk china,, klu sdh nyaman susah kembali ke idola lama,, buatkan produk unggu harga bersaing,,jangan terlalu percaya diri konsumen tetap setia,,klu ads yg murah berkwalitas ngapain beli yg mahal kwalitas neda tipis😁😁😁",positif,merk nama ambil langkah cepat konsumen lanjur pindah k produk china nyaman susah idola buat produk unggu harga bersaingjangan percaya konsumen setiaklu ads murah berkwalitas ngapain beli mahal kwalitas neda tipis
67,Tertarik,positif,tarik
68,Semoga harganya ramah di kantong,positif,moga harga ramah kantong
69,Semoga  terrealisasi jadi Mobil Listrik Suzuki,positif,moga terrealisasi mobil listrik suzuki
70,i never trust Japanese friend 😅😅,negatif,i percaya japanese teman
71,Soal quality suzuki  jangan di tanya,positif,kualitas suzuki
72,Hajar pakai apa???,netral,hajar pakai
73,Cina mobil listrik makin didepan jauh meninggalkan pabrik otomotif dari jepang dan eropa itu kenyataannya.,netral,cina mobil listrik depan tinggal pabrik otomotif jepang eropa nyata
74,"Batrai menyatu sama lantainya, nanti kalau mau ganti batrai gak bisa dong",netral,batrai satu lantai ganti batrai
75,"hehe yakin bisa kalahkan kefuturistikan mobil2 china sekarang, aku ragu sih karena yg saya tau japan car dari dulu hanya bisa konsep2 doang kaga ngejual mobil2nya yg futuristik palingan juga tungguin gen z punya anak dulu baru dijual, itupun toyota aja make platform teknologi nya byd. kita tunggu wae bakal kyk apa mobil japan kebanggan orang2 budiman ini bertindak sejauh apa",negatif,hehe kalah futuristik mobil2 china ragu sih tau jepang car konsep2 ngejual mobil2nya futuristik paling tungguin gen z anak jual itu toyota pakai platform teknologi nya byd tunggu mobil jepang banggan orang2 budiman tindak
76,"Waduhhh.. masih konsep.. batre aja paling2 beli dari BYD atau pabrikan China lainnya.. kalau toh harga bisa bantai mobil China justru lebih baik.... Nanti toh mobil China akan banting harga di bawah Suzuki lagi. Di negara jepang aja sdh banyak pabrik2 yg mati kalah saing dengan produk2 China. Lihat nanti, judul aja yg provokasi 😂😂😂",positif,waduhhh konsep baterai paling2 beli byd pabrikan china harga bantai mobil china mobil china banting harga suzuki negara jepang pabrik2 mati kalah saing produk2 china lihat judul provokasi
77,Lambat amat keburu pasarnya disikat mobil cina.. atau korea,negatif,lambat keburu pasar sikat mobil cina korea
78,Klo emg hrganya worth gw pasti pilih suzuki.,positif,emang hrganya worth pilih suzuki
79,"Inilah Pesawat Masa Depan Indonesa, Karya anak Bangsa, digerakkan dengan Baterei
Hanya diputar dengan Motor Listrik dan Terbang
Terbang di hampa udara
Kapasitas Angkut lebih dari 100 ton

SATU untuk Semua Kegunaan, tidak perlu Tank KapalLaut KapalSelam Helikopter, karena bisa Menyelam Terbang dalam SegalaCuaca, AntiPeluru, Tidak perlu Pelabuhan Lapangan terbang/landasan-pacu, mudah membuatnya & murah     

Ada dua macam kendaraan yang pada umumnya dipakai manusia dalam sejarah hidupnya di dunia kini yaitu : yang memakai tenaga menolak untuk maju seperti hewan, mobil, kapal laut atau kapal udara: Yang lainnya memakai tenaga lenting atau centrifugal seperti pesawat piring terbang. Kedua macam kendaraan ini  disebutkan dengan benda terapung dan ternak. Yang dimaksud dengan ternak ialah kuda, unta, keledai. dan sebagainya. Dan benda terapung ialah segala macam kendaraan yang diwujudkan oleh teknologi manusia termasuk dalamnya piring terbang.

Suatu cara ialah dengan memutar bahagian pesawat secara horizontal. Bila putaran itu semakin cepat akan semakin besarlah daya centrifugal dan semakin kecillah daya gravity, akhirnya daya jatuh ini akan hilang sama sekali dan mulailah pesawat terangkat dengan mudah tanpa pengaruh tarikan Bumi. Tentu orang akan heran: bagaimana pula pesawat dapat berputar terus tanpa tumpuan? Dari itulah kita namakan pesawat itu dengan Shuttling System yaitu pesawat berupa piring dempet yang di tengahnya tempat penompang :

A. Bahagian Atas, kita namakan Positif berputar ke kanan, semakin ke pinggir massanya lebih tebal dan berat.
B. Bahagian Bawah, kita namakan Negatif, berputar ke kiri, semakin ke pinggir massanya lebih tebal dan berat.
C. Bahagian Tengah, kita namakan Neutral, tempat awak pesawat serta perlengkapan dan mesin yang memutar Positif dan Negatif sekaligus.

Praktis pesawat akan terangkat ditambah dengan ledakan seperlunya untuk tenaga pembelok dan untuk penambahan kecepatan sewaktu berada di angkasa tanpa bobot. Walau bagaimanapun konstruksi pesawat itu nantinya, kita serahkan kepada para sarjana, tetapi kita yakin nantinya akan terwujud sebagai pesawat kebal peluru dan tak memerlukan landasan tertentu karena dia dapat berdiri diam di angkasa dan yang lebih hebat lagi ialah bahwa pesawat itu tentunya water proof yang kalau perlu dia dapat langsung masuk lautan dan keluar lagi menurut semaunya.",positif,pesawat indonesa karya anak bangsa gerak baterei putar motor listrik terbang terbang hampa udara kapasitas angkut 100 ton guna tank kapallaut kapalselam helikopter selam terbang segalacuaca antipeluru labuh lapang terbanglandasanpacu mudah buat murah kendara pakai manusia sejarah hidup dunia pakai tenaga tolak maju hewan mobil kapal laut kapal udara pakai tenaga lenting centrifugal pesawat piring terbang kendara benda apung ternak ternak kuda unta keledai benda apung kendara wujud teknologi manusia dalam piring terbang putar bahagian pesawat horizontal putar cepat besar daya centrifugal kecil daya gravity daya jatuh hilang pesawat angkat mudah pengaruh tari bumi orang heran pesawat putar tumpu nama pesawat shuttling system pesawat piring dempet tengah penompang a bahagian nama positif putar kanan pinggir massa tebal berat bb bahagian nama negatif putar kiri pinggir massa tebal berat c bahagian nama neutral awak pesawat lengkap mesin putar positif negatif praktis pesawat angkat tambah ledak tenaga belok tambah cepat angkasa bobot konstruksi pesawat serah sarjana wujud pesawat kebal peluru landas diri diam angkasa hebat pesawat water proof langsung masuk laut
80,Ayo suzuki. Betulan. Jangan php. Konsumen gak urus mobil negara mana. Penting bagus. Murah dibanding apa yg ditawarkan,positif,ayo suzuki betul php konsumen urus mobil negara bagus murah banding tawar
81,"sama..
biasanya desain suzuki nanggung, bagus enggak jelek enggak.
desain ini too good to be true",negatif,desain suzuki nanggung bagus jelek desain too good be true
82,"Untuk pasar indo dan india mungkin iya, tapi dijepang kemungkinan akan seperti itu... 😂😂😂",positif,pasar indonesia india iya dijepang
83,kacoww cok velgnya tuh kaya dateng dari beda dunia gitu pooll wkkwk,positif,kacoww cok velgnya tuh kaya beda dunia pooll wkkwk
84,"walaupun blm dijual, tp kayaknya peminatnya udah ngantri nih buat booking wkwkw",positif,jual kayak minat antri nih booking wkwkw
85,"thanksss bang videonya, jadi bisa liat interior si evx ini gokil cakepp benere",positif,thanksss bang video lihat interior si evx gokil cakepp benere
86,"desainnya futuristik dan fiturnya fiturnya lengkap banget yaak, gas bungkus ini wkwk",positif,desain futuristik fiturnya fiturnya lengkap banget yaak gas bungkus wkwk
87,Woooowww kren❤,positif,woooowww keren
88,"kenapa bukan ini aja yang vitara gasoline atau hybrid. bisa autokiller yaris cross dan hrv. 
orang yang beli molis itu bukan dijadikan mobil pertama. pasti ke 3 atau ke 4.",positif,vitara gasoline hybrid autokiller yaris cross hrv orang beli mol jadi mobil 3 4
89,jepang mah udah kebaca… bisanya cuma show off.. paling juga mobil model begini cuma jadi wacana,negatif,jepang mah baca bisa show off mobil model wacana
90,"menit 2:04 ahahaha
kl gitu modelnya, gk bakal laku masuk indo..
badan besar, velg+ban kecil
kyk body2 design toyota termasuk innova zennix
badannya besar, kakinya kecil
trex trex namanya wkwkwwkk",negatif,menit 204 ahahaha kl model laku masuk indonesia badan velgban body2 design toyota innova zennix badan kaki trex trex nama wkwkwwkk
91,"Yg lain sibuk jualan, sibuk buka pabrik, eh semua brand"" sakura masih sibuk bikin konsep 😂

Bener"" generasinya menua kekurangan anak muda, jadi semua inovasinya serba lambat",negatif,sibuk jual sibuk buka pabrik eh brand sakura sibuk bikin konsep bener generasi tua kurang anak muda inovasi serba lambat
92,Mantap Suzuki EVX ini,positif,mantap suzuki evx
93,Mobil masa depan,positif,mobil
94,gile keren banget,positif,gila keren banget
95,Memyala Suzuki kuhh.. 🔥,positif,memyala suzuki kuhh
96,"Cuma dipameri blm dijual, males ah. Ntar baru ngecek kl sdh ada dipasaran. Apa masih sebagus prototype tsb, atau ternyata  di downgrade dari ""Futuristic"" Menjadi ""Presentistic"".",positif,pamer jual malas ah ecek kl pasar bagus prototype downgrade futuristic presentistic
97,"Sumpah kagum liat suzuki EVX dan kagum liat tampang baru suzuki CARRY
Semoga suzuki membuat gebrakan besar di pasar mobil indonesia.",positif,sumpah kagum lihat suzuki evx kagum lihat tampang suzuki carry moga suzuki gebrak pasar mobil indonesia
98,Ngeriii ini,positif,ngeriii
99,"Kenapa desain secakep ini ngga dibuat versi produksi sekalian? Versi produksi selalu didowngrade. Padahal dari sisi biaya manufaktur antara desain konsep dan produksi massal (mestinya) tidak selisih terlalu banyak.
Kalau desain konsep seperti ini bener-bener diproduksi, kemungkinan besar akan sukses luar biasa diterima market",positif,desain cakep versi produksi versi produksi didowngrade sisi biaya manufaktur desain konsep produksi massal mesti selisih desain konsep benerbener produksi sukses terima market
100,Wah keren nih,positif,keren nih
101,"Begitu lah jepang ngak asal luncurin produk EV, ngak kayak produk china glodokk😅😅",positif,jepang luncurin produk ev produk china glodokk
102,"suzuki dgn design prindafan tb"" comeback dgn konsep futuristik gni berasa terpana WWKWKWKWK",positif,suzuki design prindafan tb konsep futuristik gni asa terpana wwkwkwkwk
103,"Yaelah ev brand china & korea sdh masuk produksi seri kesekian, produsen jepang cuman pamer konsep doank ... ujung2nya dijual dgn harga yg fantastis tp fitur yg kalah jauh ama china & korea ... mensedih",negatif,yaelah ev brand china korea masuk produksi seri sekian produsen jepang pamer konsep ujung2nya jual harga fantastis fitur kalah china korea sedih
104,"Tumben Design suzuki futuristik mirip2 design mitsubishi, di otomotif design suzuki sangat membosankan jelek dan kotak",positif,tumben design suzuki futuristik mirip2 design mitsubishi otomotif design suzuki bosan jelek kotak
105,Selalu terlambat mengambil keputusan masuk indo,negatif,lambat ambil putus masuk indonesia
106,"Konsep nya bagus . Pas jadi aslinya biasanya selera prindavan or jauh dari model konsep nya... 

Jepang lama2 ketinggalan jauh dari cina 😂",positif,konsep nya bagus pas asli selera prindavan or model konsep nya jepang lama2 tinggal cina
107,"kalo suzuki mau produksi, harus bisa semirip mungkin dengan desain konsep ini karena orang indonesia suka sama yang desain kaya gini. tapi harga harus dibawah 500, apalagi kalo bisa 400 kecil sih bakal gokil karena mobil listrik di kelas crossover atau compact SUV itu kurleb main di harga segitu, tapi kalo bisa lebih murah dari kompetitor bakal gokil sih.
*catatan: Suzuki harus melakukan survey dan questioner ke media otomotif, customer suzuki,  dan orang umum, untuk memaksimalkan produk yang akan diproduksi.",positif,suzuki produksi mirip desain konsep orang indonesia suka desain kaya harga bawah 500 400 sih gokil mobil listrik kelas crossover compact suv kurleb main harga segitu murah kompetitor gokil sih catat suzuki survey questioner media otomotif customer suzuki orang maksimal produk produksi
108,Concept doank..🤣🤣,negatif,konsep
109,"Kalo dijual di indo, harus ada unsur india nya wkwkw",negatif,jual indonesia unsur india nya wkwkw
110,Vitara EV,positif,vitara ev
111,"Nanti harga brosur 100, tapi harus beli second di 200 gak nih?",negatif,harga brosur 100 beli second 200 nih
112,Harganya di goreng,negatif,harga goreng
113,"Next g usah video HDR lg dong, banyak mudhorot drpd manfaatnya",negatif,next video hdr mudhorot manfaat
114,"Padahal mobil suzuki nyaman, spek karimun aja nyaman, apa lagi yg lain",positif,mobil suzuki nyaman spek karimun nyaman
115,Hmm ... Bg HillStartAssist dari India ?,netral,hmm bg hillstartassist india
116,Kayak fronx ga sih,netral,fronx sih
117,Info mbakar-mbakar booth toyota dan membunuh massal sales-salesnya di giias 2024,negatif,informasi mbakarmbakar booth toyota bunuh massal salessalesnya giias 2024
118,"jangan pernah percaya mobil concept Suzuki, karena mereka selalu bikin mobil versi produksinya jauh lebih jelek.. so jangan berharap banyak. kecuali kalau conceptnya yg versi mass prod seperti SWIFT gen terbaru kemaren yg sebenernya mobil mass prod tapi dinamai concept",negatif,percaya mobil konsep suzuki bikin mobil versi produksi jelek harap kecuali conceptnya versi mass prod swift gen baru kemaren sebenernya mobil mass prod nama konsep
119,"wihh cakep jg ya, tahun depan beli deh",positif,wihh cakep ya beli deh
120,The next generation 😊,positif,the next generation
121,Ternyata Suzuki bisa buat mobil cakep 😂,positif,suzuki mobil cakep
122,"sukaaa modelnya, semoga bisa kebeli nanti yh",positif,sukaaa model moga beli yh
123,"Mobil konsep doang, dijuap 5-10 tahun lagi. Beda sama china, gak bikin mobil konsep konsepan. Produksi langsung jual .",negatif,mobil konsep dijuap 510 beda china bikin mobil konsep konsep produksi langsung jual
124,"mantapp suzuki, otw beli ini",positif,mantapp suzuki jalan beli
125,"udah cepet diluncurkan, daripada desainnya di contek pesaing lagi wkwk",positif,cepat luncur desain contek saing wkwk
126,pake baterai LFP atau NCM nih? kalo NCM  pasti mahal,negatif,pakai baterai lfp ncm nih ncm mahal
127,"Tolong kualitas audionya dibenahi lagi, 
Suara host nya kecel beud",negatif,tolong kualitas audio benah suara host nya capek beud
128,Apasih ini intro videonya panjang bgt,negatif,apasih intro video banget
129,"Ev pertama dari suzuki ...

Emang dari dulu suzuki slalu telat buat fomo2an 😂",negatif,ev suzuki emang suzuki telat fomo2an
130,rada males sama merk suzuki... dikit2 suntik mati,negatif,rada malas merk suzuki dikit2 suntik mati
131,Kebanyakan konsep ujung2nya kalah dgn produk china,negatif,banyak konsep ujung2nya kalah produk china
132,"Mobil prindapan, skip dah",negatif,mobil prindapan skip
133,"Cakep bener modelnya... kalau harganya setara dg BYD jelas ini bisa menghambat EV China di Indo.... kualitas Suzuki jelas bagus, apalagi cakep bentuknya....:face-red-heart-shape:",positif,cakep bener model harga tara byd hambat ev china indonesia kualitas suzuki bagus cakep bentuknyafaceredheartshape
134,1500 cc tranmisi at bkin produksi dah suzuki...,positif,1500 cc tranmisi at bkin produksi suzuki
135,keren sih ini,positif,keren sih
136,"Merek lain produk baru, merek ini pamerin konsep yang udah lama... cape deh...",negatif,merek produk merek pamerin konsep capek deh
137,Lebih cakep daripada design Mitsubishi,positif,cakep design mitsubishi
138,Kok format videonya ada HDR?,negatif,format video hdr
139,"D india ni mobil ""udh jadi"" n lgi d tes jln, bbrpa x ad poto ny",positif,d india ni mobil n d tes jalan x foto ny
140,"Suzuki kalo dihandle China mungkin udah keluar produk2 inovatif terbaru kali..ketinggalan amat sih Jepang, bahkan Honda aja baru aja muncul konsep EN-1 nya setelah sekian lama. Kalah ama korea udah sampe Ioniq5N...",negatif,suzuki dihandle china produk2 inovatif baru kaliketinggalan sih jepang honda muncul konsep en1 nya sekian kalah korea ioniq5n
141,cuma mitsubishi yg consep ama produksi mirip2,positif,mitsubishi consep produksi mirip2
142,"Byd udh jualan 7seater ev harga gila, ini baru konsep 🫣",negatif,byd jual 7seater ev harga gila konsep
143,NGIMPI 😊😊😊,negatif,mimpi
144,"Bentar lagi kayaknya suzuki bakalan dibeli sama china

Seperti volvo",negatif,bentar kayak suzuki beli china volvo
145," @whatyougetwhatyousee  Seperti inilah sepantasnya teknologi dan desain mobil masa kini.
Mobil baru yang sekarang ini dijual (khususnya mobil Jepang) adalah mobil masa lalu yang sudah sangat ketinggalan dari sisi desain dan teknologi",positif,whatyougetwhatyousee teknologi desain mobil mobil jual mobil jepang mobil tinggal sisi desain teknologi
146,"Mudah2an, dan harga nya ngo tak",positif,mudah harga nya
147,Suzuki the next generation 😊,positif,suzuki the next generation
148,Sekalianya keluar harganya di goreng 😂😂😂,negatif,sekalianya harga goreng
149,Masih menunggu all new ertiga dan xl7. Beli mobil kalau gak 7 seater gak afdol,positif,tunggu all new ertiga xl7 beli mobil 7 seater afdol
150,Semoga harganya membumi tidak sundul langit.,positif,moga harga bumi sundul langit
151,HDR bikin plain warnanya di mayoritas HP bang...,negatif,hdr bikin plain warna mayoritas hp bang
152,Kek bkn Suzuki aja... Biasa belakang nya jelek bgt... Ini gw suka,positif,suzuki nya jelek banget suka
153,"Suzuki baik motor maupun mobil biasanya hanya bagus di konsep.
Begitu produk beneran.....😊",positif,suzuki motor mobil bagus konsep produk beneran
154,Hadeh masih konsep.,negatif,hadeh konsep
155,"Mirip muka ikan lohan, mantap ini. Serasa melihat ikan purba.",positif,muka ikan loh mantap serasa ikan purba
156,Inilah kenapa Suzuki dan Honda terpaksa stop produksinya di Thailand yg lagi demam EV. Merk lain udah banyak yg jualan EV ini masih pamerin konsep EV.,negatif,suzuki honda paksa stop produksi thailand demam ev merk jual ev pamerin konsep ev
157,wow interior nya keren. 400jt deh biar aku bisa beli :hand-pink-waving:,positif,wow interior nya keren 400jt deh biar beli handpinkwaving
158,paling klo final produknya full chrome lagi ala prindavan...oh nehii..,negatif,final produk full chrome ala prindavanoh nehii
159,mnding jdiin bensin aja. blom cocok ev,negatif,mending jdiin bensin cocok ev
160,"Yang lain udah jualan ini masih pamer konsep 😂 oiya ini kan pameran, ya bener pamer aja gak jualan 😊",negatif,jual pamer konsep oiya pamer ya bener pamer jual
161,"suzuki asli jepang sih bagus. tapi suzuki itu kek lebih menghargai negara yang akan dia produksi massal.
dalam artian lebih ke UKM di negara lokal ( bukan build Japan).


mirip kek malaysia lah.
apapun merek kendaraan masuk wilayah malaysia harus ganti namanya PERODUA.
alhasil akan banyak rombakan modifikasi yang tentunya berbeda dengan produksi dari kendaraan luar yang kita ketahui secara garis besar. Makanya xenia-avanza di malaysia koq lebih berkarakter dibanding dengan indonesia.


lucunya lagi karena cost kirim kendaraan dari jepang mungkin mahal ke indonesia, maka di kirim dari india yang selera india banget ke indonesia guna mengurangi biaya pengiriman part2 kendaraan dari jepang.
Seperti Suzuki esspreso yang kek gak selera banget untuk indonesia. Tapi koq suzuki tetap pede aja ya ?heran.


ya semoga bisa lebih mengerti selera indonesia aja sih.
sama perbanyakin dong bengkel suzuki khususnya motor. kami dari bogor kesulitan servis resmi motornya. Mana yang servis umum katanya ahli eh malah main tarik kabel temperatur mesin.",positif,suzuki asli jepang sih bagus suzuki harga negara produksi massal arti ukm negara lokal build jepang malaysia apa merek kendara masuk wilayah malaysia ganti nama perodua alhasil rombak modifikasi beda produksi kendara tahu garis xeniaavanza malaysia koq karakter banding indonesia lucu ongkos kirim kendara jepang mahal indonesia kirim india selera india banget indonesia kurang biaya kirim part2 kendara jepang suzuki esspreso selera banget indonesia koq suzuki pede ya heran ya moga erti selera indonesia sih perbanyakin bengkel suzuki motor bogor sulit servis resmi motor servis ahli eh main tarik kabel temperatur mesin
162,"Ku suka mobil Suzuki EV, keren..",positif,ku suka mobil suzuki ev keren
163,tumben banget mobil konsep boleh dipegang + bisa liat dalamnya,positif,tumben banget mobil konsep pegang lihat dalam
164,masih konsep bae smpe nnt suzukiny kbru bangkrut 😔,negatif,konsep bae suzukiny kbru bangkrut
165,Dalam sejarahnya mobil konsep suzuki selalu jauh dari yg dijual...,negatif,sejarah mobil konsep suzuki jual
166,Keren coooo,positif,keren coooo
167,mitsubishi xforce electric,netral,mitsubishi xforce electric
168,NGIMPI 😊😊😊,netral,mimpi
169,Mksdnya ngimpi gmn nih  @djinggo2296  ? Lu ngimpi basah?🤣🤣🤣,netral,maksud mimpi nih djinggo2296 mimpi basah
170,"wkwk stuju, kyknya anak2 gua jg anteng sih kalo dibawa pake ini bisa liat keatas mulu hehe",positif,wkwk tuju anak2 anteng sih bawa pakai lihat atas mulu hehe
171,Goodlah fast Charging...,positif,goodlah fast charging
172,"jangan lupa interior nya kak, stylish dan mevvah banget itu",positif,lupa interior nya kak stylish mevvah banget
173,"Mudah2an, soalnya mobil listrik pasti Mahal",positif,mudah mobil listrik mahal
174,Dari Panjangnya Bakal Lawan Hyundai Kona Yg lama terus ada Honda EN1 aka HRV EV terus ada MG ZS EV ada lagi BYD ATTO 3 dan Omoda 5eV,netral,panjang lawan hyundai kona honda en1 aka hrv ev mg zs ev byd atto 3 omoda 5ev
175,Paling lawannya jetli,netral,lawan jetli
176, @muhammadadityabudiman8036  eh kan kona yang baru udah keluar kan,netral,muhammadadityabudiman8036 eh kona
177,"Yang laen dah jual 11.000 unit baru mau keluarin 2025 😅😅 emang kocak lu Suzuki.. Bukan pelopor tapi cuma ekor... 
Pantes motor lu ga begitu laku, selain cuma pengekor tapi model nya kocak bukan selera kebanyakan orang Indonesia.. Orang mah minimal riset.. Yang paling laku di Indonesia apa jiplak aja dlu..",negatif,jual 11000 unit keluar 2025 emang kocak suzuki pelopor ekor motor laku ekor model nya kocak selera banyak orang indonesia orang mah minimal riset laku indonesia jiplak
